screen_x,screen_y
519.4762528891639,492.0909179039832
535.0262756716305,541.1332974486857
535.0262756716305,556.6833202311522
525.4570308824203,575.8218098095726
525.4570308824203,587.7833657960855
538.6147424675844,618.8834113610187
546.9878316581434,660.7488573138135
558.9493876446561,678.6911912935826
593.6379000055433,787.541350770849
612.7763895839637,798.3067511587105
636.6995015569893,825.8183299276899
654.6418355367584,827.0144855263411
804.1612853681683,867.6837758804846
829.2805529398452,854.5260642953206
856.7921317088245,854.5260642953206
891.4806440697116,828.2106411249924
921.3845340359936,827.0144855263411
940.523023614414,815.0529295398284
970.426913580696,816.2490851384796
988.3692475604652,805.4836847506181
1012.2923595334908,804.2875291519669
1030.23469351326,793.5221287641053
1061.3347390781933,794.7182843627567
1076.8847618606596,783.9528839748951
1104.3963406296393,782.7567283762438
1122.3386746094084,771.9913279883824
1151.0464089770392,773.1874835870336
1170.1848985554595,780.3644171789413
1195.3041661271363,767.2067055937772
1215.638811304208,768.4028611924285
1239.5619232772335,756.4413052059157
1267.073502046213,756.4413052059157
1285.0158360259825,745.6759048180543
1312.5274147949615,745.6759048180543
1385.4929063126897,678.6911912935826
1396.2583067005512,673.9065688989775
1433.3391302587409,633.237278544834
1436.9275970546946,602.1372329799008
1447.692997442556,580.6064322041777
1415.3967962789716,476.5408951215165
1398.650617897854,438.2639159646756
1385.4929063126897,380.84844722941426
1378.315972720782,371.279202440204
1357.9813275437102,364.1022688482964
1334.0582155706848,336.5906900793169
1292.19276961789,328.217600888758
1269.4658132435156,318.6483560995477
1250.3273236650953,294.72524412652217
1233.581145283977,288.7444661332658
1219.227278100162,268.40982095619404
1198.8926329230903,257.6444205683325
1174.9695209500646,230.1328417993532
956.0730463968806,175.10968426139436
935.7384012198089,185.87508464925585
920.1883784373423,188.26739584655837
828.0843973411938,166.7365950708354
804.1612853681683,178.69815105734818
773.061239803235,181.09046225465073
724.0188602585326,222.95590820744547
688.1341922989943,226.5443750033993
554.1647652500511,355.7291796577374
550.5762984540972,386.82922522267063
539.8108980662357,408.36002599839367
539.8108980662357,428.6946711754654
531.4378088756766,443.0485383592808
530.2416532770254,470.5601171282601
