atom[0]Ga	a	0.440044	0.295057	0.103955	0.005	1	0.019	Def	0
atom[1]Ga	a	0.482869	0.305322	0.09956	0.005	1	0.019	Def	0
atom[2]Ga	a	0.525694	0.315586	0.103955	0.005	1	0.019	Def	0
atom[3]Ga	a	0.40705	0.324225	0.09956	0.005	1	0.019	Def	0
atom[4]Ga	a	0.449875	0.33449	0.103955	0.005	1	0.019	Def	0
atom[5]Ga	a	0.374056	0.353394	0.103955	0.005	1	0.019	Def	0
atom[6]Ga	a	0.568519	0.325851	0.09956	0.005	1	0.019	Def	0
atom[7]Ga	a	0.611345	0.336115	0.103955	0.005	1	0.019	Def	0
atom[8]Ga	a	0.4927	0.344754	0.09956	0.005	1	0.019	Def	0
atom[9]Ga	a	0.535526	0.355019	0.103955	0.005	1	0.019	Def	0
atom[10]Ga	a	0.514297	0.360312	0.07649	0.005	1	0.019	Def	0
atom[11]Ga	a	0.416882	0.363658	0.09956	0.005	1	0.019	Def	0
atom[12]Ga	a	0.459707	0.373923	0.103955	0.005	1	0.019	Def	0
atom[13]Ga	a	0.438478	0.379216	0.07649	0.005	1	0.019	Def	0
atom[14]Ga	a	0.341063	0.382562	0.09956	0.005	1	0.019	Def	0
atom[15]Ga	a	0.383888	0.392827	0.103955	0.005	1	0.019	Def	0
atom[16]Ga	a	0.308069	0.41173	0.103955	0.005	1	0.019	Def	0
atom[17]Ga	a	0.578351	0.365284	0.09956	0.005	1	0.019	Def	0
atom[18]Ga	a	0.621176	0.375548	0.103955	0.005	1	0.019	Def	0
atom[19]Ga	a	0.481303	0.38948	0.072095	0.005	1	0.019	Def	0
atom[20]Ga	a	0.502532	0.384187	0.09956	0.005	1	0.019	Def	0
atom[21]Ga	a	0.545358	0.394452	0.103955	0.005	1	0.019	Def	0
atom[22]Ga	a	0.524128	0.399745	0.07649	0.005	1	0.019	Def	0
atom[23]Ga	a	0.405484	0.408384	0.072095	0.005	1	0.019	Def	0
atom[24]Ga	a	0.426713	0.403091	0.09956	0.005	1	0.019	Def	0
atom[25]Ga	a	0.469539	0.413356	0.103955	0.005	1	0.019	Def	0
atom[26]Ga	a	0.448309	0.418649	0.07649	0.005	1	0.019	Def	0
atom[27]Ga	a	0.350894	0.421995	0.09956	0.005	1	0.019	Def	0
atom[28]Ga	a	0.39372	0.432259	0.103955	0.005	1	0.019	Def	0
atom[29]Ga	a	0.37249	0.437552	0.07649	0.005	1	0.019	Def	0
atom[30]Ga	a	0.317901	0.451163	0.103955	0.005	1	0.019	Def	0
atom[31]Ga	a	0.664002	0.385813	0.09956	0.005	1	0.019	Def	0
atom[32]Ga	a	0.566953	0.410009	0.072095	0.005	1	0.019	Def	0
atom[33]Ga	a	0.588183	0.404716	0.09956	0.005	1	0.019	Def	0
atom[34]Ga	a	0.631008	0.414981	0.103955	0.005	1	0.019	Def	0
atom[35]Ga	a	0.609779	0.420274	0.07649	0.005	1	0.019	Def	0
atom[36]Ga	a	0.491135	0.428913	0.072095	0.005	1	0.019	Def	0
atom[37]Ga	a	0.512364	0.42362	0.09956	0.005	1	0.019	Def	0
atom[38]Ga	a	0.555189	0.433885	0.103955	0.005	1	0.019	Def	0
atom[39]Ga	a	0.53396	0.439178	0.07649	0.005	1	0.019	Def	0
atom[40]Ga	a	0.415316	0.447817	0.072095	0.005	1	0.019	Def	0
atom[41]Ga	a	0.436545	0.442524	0.09956	0.005	1	0.019	Def	0
atom[42]Ga	a	0.47937	0.452788	0.103955	0.005	1	0.019	Def	0
atom[43]Ga	a	0.458141	0.458081	0.07649	0.005	1	0.019	Def	0
atom[44]Ga	a	0.360726	0.461428	0.09956	0.005	1	0.019	Def	0
atom[45]Ga	a	0.403551	0.471692	0.103955	0.005	1	0.019	Def	0
atom[46]Ga	a	0.382322	0.476985	0.07649	0.005	1	0.019	Def	0
atom[47]Ga	a	0.327732	0.490596	0.103955	0.005	1	0.019	Def	0
atom[48]Ga	a	0.673833	0.425245	0.09956	0.005	1	0.019	Def	0
atom[49]Ga	a	0.576785	0.449442	0.072095	0.005	1	0.019	Def	0
atom[50]Ga	a	0.598015	0.444149	0.09956	0.005	1	0.019	Def	0
atom[51]Ga	a	0.64084	0.454414	0.103955	0.005	1	0.019	Def	0
atom[52]Ga	a	0.619611	0.459707	0.07649	0.005	1	0.019	Def	0
atom[53]Ga	a	0.500966	0.468346	0.072095	0.005	1	0.019	Def	0
atom[54]Ga	a	0.522196	0.463053	0.09956	0.005	1	0.019	Def	0
atom[55]Ga	a	0.565021	0.473318	0.103955	0.005	1	0.019	Def	0
