src_x,src_y
800.1194177282996,58.134956624804374
756.2956974848142,85.08750301280679
741.2075768203007,88.84939409586428
720.322572259018,84.19441655838818
708.7163255940075,87.08817892997081
681.7232228737213,107.37883242759716
643.1269932062927,125.6313733936438
628.6113855803598,141.5782636160282
531.3864518063546,201.5696165259606
525.5708496023774,222.74399732440168
504.6640070160188,252.6121441090626
507.8440259068917,270.31089034373656
504.5548168906394,425.2277657197478
523.3985892024745,446.4177451075288
530.0542426571146,473.11211243705276
563.9798961977272,500.4039505481012
572.3749267931848,529.130190973469
588.6111932527275,544.806423265903
594.6849745151831,574.1114161655873
609.4712400710664,588.9164000286786
616.4193894807328,611.8395171215411
631.2056550366161,626.6445009846324
637.56881253623,657.1101185508178
651.7763256177968,669.5938530809069
659.592603738938,695.9988441732726
674.3788692948214,710.8038280363639
680.1632743201187,738.9481962695472
677.8295461156447,759.2544483565134
696.6733184274797,780.4444277442944
700.4320897926691,800.4644233119704
717.8258612008449,820.7831542704085
724.481514655485,847.4775215999325
739.2677802113683,862.2825054630238
745.9234336660085,888.9768727925477
828.570365456721,943.5699081682485
835.8172502571496,952.8580252181248
884.2491522700913,978.9985978162761
915.2935223105931,974.9566896496643
938.7891524420363,980.1935393793249
1031.9503400243539,923.6809407510277
1065.0390620321714,898.1721558309487
1117.5659074154805,871.5152251158404
1125.1146473245394,862.2364672195681
1127.158999291855,840.7695904661007
1148.0658418782136,810.9014436814398
1146.0620462431816,768.2539466937955
1149.848895069183,743.8870681330095
1168.4313686046717,719.5295487258276
1170.183224616961,701.8339222090217
1186.4413291015796,682.9870301793187
1191.9675550683985,660.6520247143766
1212.874397654757,630.7838779297156
1213.3072809138425,405.07825705074464
1197.9422628836428,387.9520238546513
1191.8591224675831,373.4426556644543
1190.4683962034155,278.86578407502526
1173.0746247952397,258.5470531165871
1163.2295932961229,228.9495642618765
1110.7433042450975,191.49212123587301
1098.5801431308464,157.54150995231652
940.8225405870081,58.804180917292456
909.7781705465062,62.84608908390419
886.2825404150631,57.60923935424353
866.5519210845453,62.528635385934024
850.5987914264249,57.87677756632593
823.6150478597427,63.37180635446498
