src_index,src_x,src_y,tgt_x,tgt_y,dist_to_hole_px,matched
0,805.0,23.5,3.891969300451791,336.0360784909782,45.460815,False
1,848.5,23.5,12.68982363975445,300.7498129055517,46.036606,False
2,891.5,23.5,21.386553216536385,265.86913657972786,46.57731,False
3,826.4814814814815,34.96296296296296,17.535103193047775,320.92912082499095,38.305305,False
4,869.4814814814815,34.96296296296296,26.23183276982971,286.0484444991671,38.902214,False
5,740.0,35.5,0.4798924032205889,391.18967653981383,57.714348,False
6,783.48,35.36,9.16013330425173,355.8913355580395,41.100117,False
7,913.0,35.38709677419355,35.3774752644085,250.832958018855,36.16361,False
8,956.48,35.36,44.14930113642092,215.55745173553893,39.709713,False
9,718.3793103448276,47.10344827586207,5.5195897947795345,411.07468841527646,50.235825,False
10,761.6206896551724,47.10344827586207,14.26512885776836,375.99824793754,41.100117,False
11,805.0,46.94117647058823,22.90694884638569,340.7770454801015,25.244299,False
12,848.3793103448276,47.10344827586207,31.812028050166788,305.6214809185998,25.820099,False
13,891.3793103448276,47.10344827586207,40.50875762694872,270.74080459277593,25.4058,False
14,934.6206896551724,47.10344827586207,49.25429668993755,235.66436411503943,26.522299,False
15,978.0,46.94117647058823,57.896116678554876,200.44316165760094,41.619713,False
16,1021.0,50.0,69.07409746834091,166.18113075625197,57.76342,False
17,696.5,58.5,10.339144005637735,431.12768120119347,48.48733,False
18,740.0,62.0,21.97612316215853,396.549288953412,39.190113,False
19,783.5,58.5,27.934852684242998,360.55515003034054,25.0266,False
20,826.5,58.5,36.63158226102493,325.6744737045167,19.170202,False
21,869.5,58.5,45.328311837806865,290.79379737869283,22.449503,False
22,913.0,62.0,56.96529099432777,256.21540513091145,17.2251,False
23,956.5,58.5,62.92402051641224,220.22126620784,24.900202,False
24,999.5,58.5,71.62075009319412,185.34058988201613,41.619713,False
25,1042.5,58.5,80.317479669976,150.45991355619228,60.916325,False
26,696.5,65.5,16.01739364007412,432.5434278764835,43.55081,False
27,783.5,65.5,33.61310231867944,361.9708967056306,19.710901,False
28,826.5,65.5,42.30983189546137,327.09022037980674,16.1437,False
29,869.5,65.5,51.006561472243305,292.2095440539829,17.513,False
30,956.5,65.5,68.60227015084863,221.63701288313004,20.5044,False
31,999.5,65.5,77.2989997276305,186.75633655730618,36.556812,False
32,1042.5,65.5,85.99572930441249,151.87566023148239,56.52052,False
33,675.32,76.08,20.316020399519488,451.86398331726923,40.559414,False
34,718.32,76.08,29.01274997630142,416.9833069914454,25.785,False
35,978.0,76.27586206896552,81.69178405594411,206.37608802482842,22.8287,False
36,1064.5,76.23076923076923,99.14978596956425,136.20002519574277,59.13272,False
37,761.5,76.5,38.08657647902501,382.04156890360093,20.665901,False
38,805.0,76.5,46.88443081832767,346.7553033181746,1.91,True
39,848.5,76.5,55.68228515763039,311.4690377327481,1.3693,True
40,891.5,76.5,64.37901473441227,276.58836140692426,0.955,True
41,934.5,76.5,73.07574431119414,241.70768508110038,2.3243,True
42,1021.5,76.5,90.67145298979958,171.13515391024757,38.340412,False
43,653.5,89.07142857142857,26.441298819186073,472.19141399455805,40.145115,False
44,696.4814814814815,89.03703703703704,35.10639513764616,437.3187848345758,23.7486,False
45,740.0,88.61290322580645,43.56393579767726,401.9317352939478,18.755901,False
46,783.48,88.64,52.379723817296934,366.6671900053608,1.91,True
